episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean,solar_honest,solar_hide,solar_deception,wind_honest,wind_hide,wind_deception
1,31338.770198067257,-4631.861295577901,26706.908902489355,33.76924507297315,1.1342820997443137,3867,2455,2437,3219,2776,2764
2,30639.199746056365,-3857.0727094858375,26782.127036570528,45.33251799955964,2.065019672504522,3090,3169,2500,3308,3012,2439
3,30906.64466351775,-4183.595384415608,26723.04927910214,51.87179059077836,1.146835500539557,3176,2844,2739,2942,2952,2865
4,30889.280327962726,-4178.094264662615,26711.186063300112,55.68647627260205,0.7307433638575054,2934,2948,2877,3601,2670,2488
5,31093.398149340414,-4481.080641168405,26612.317508172007,57.92163294652162,-0.4729391746616724,3138,2944,2677,2690,3211,2858
6,30447.16311487541,-3677.374197225313,26769.788917650098,58.96733521598308,0.5453493716590874,2956,3155,2648,3531,2593,2635
7,31356.956329210232,-4681.504589133926,26675.451740076307,59.927958436602005,0.1775017100202278,2658,3407,2694,3094,2816,2849
8,30738.53560368155,-3971.9815156191135,26766.554088062436,61.049164881705806,-0.46694174973506214,2727,3211,2821,2883,3278,2598
9,30768.880354342116,-4131.524073043658,26637.35628129846,61.79385830652137,-0.22672398130299598,3663,2452,2644,2686,3107,2966
10,30511.713502401046,-3772.99462033359,26738.718882067456,62.1994873379364,-0.1002078844846421,3011,3214,2534,2766,2967,3026
11,30958.327052472687,-4252.401260891484,26705.925791581205,62.44310452953455,-0.7487303831055699,3062,3016,2681,2639,3122,2998
12,30625.905269588355,-3964.550927274443,26661.354342313913,62.3675661293839,-0.48837831329618203,3279,3021,2459,3103,3013,2643
13,31040.492510584405,-4295.790616391796,26744.701894192607,63.06573943697882,-0.9655151808280328,2818,3080,2861,3026,3310,2423
14,30883.56037129178,-4080.2076352159993,26803.35273607578,63.257972567765,-0.9740138292093584,3222,3025,2512,3021,2517,3221
15,30820.95890328066,-4005.9355163426985,26815.023386937963,63.464688713307915,-0.9614104427049935,3215,2362,3182,3128,2605,3026
16,30904.334953146248,-4156.441538319975,26747.893414826274,63.97884535217841,-1.5381084797583753,3598,2915,2246,2765,3090,2904
17,30974.366201424633,-4294.6426815883415,26679.72351983629,64.02768886345356,-1.5234284268918519,2972,3112,2675,3089,2673,2997
18,30931.195111272387,-4207.963956294911,26723.231154977475,64.53871374705724,-1.4251143457508892,3433,2610,2716,2958,2979,2822
19,30797.56380675831,-4133.379732405613,26664.184074352695,65.20421882134448,-1.2508406764074318,2765,3364,2630,2959,2726,3074
20,31202.450951721912,-4452.951230080039,26749.499721641874,64.60608809814535,-1.4197112789150452,2765,2893,3101,2899,2955,2905
21,30356.459576411078,-3633.7072353195763,26722.752341091502,64.26528495954635,-1.1358390483709981,2558,3021,3180,3242,3143,2374
22,31143.636928648695,-4424.009780673029,26719.627147975665,65.57072729366234,-1.850514316083739,3155,2955,2649,2569,2999,3191
23,30899.868575964192,-4108.744293103194,26791.124282860997,65.34180965941962,-2.181140791825034,3000,3253,2506,3237,3154,2368
24,30695.627797704026,-3921.8398504258516,26773.787947278175,64.85581645222162,-1.7130270572191497,2543,3235,2981,3210,2958,2591
25,30829.834521879748,-4021.7956188806943,26808.038902999055,65.36615898154227,-1.4826403879910373,2684,3104,2971,3190,3015,2554
26,31095.699180438354,-4430.853125644419,26664.846054793936,65.34873298358983,-2.3741115620712874,2710,3147,2902,2897,2718,3144
27,30618.99917966538,-3918.5294234331705,26700.46975623221,65.3964222859992,-1.9639681246817944,2591,3261,2907,2915,3006,2838
28,30787.767514981213,-4024.204560120148,26763.562954861067,65.32630880967835,-1.9667194711226836,2658,3093,3008,2808,3091,2860
29,31119.50157654166,-4458.375558774256,26661.126017767405,66.19467053650838,-1.9036694316200555,2345,3237,3177,2942,3307,2510
30,30382.767711807,-3720.5590889929676,26662.208622814032,65.29964619774061,-1.5897837845903218,2894,3136,2729,2632,3195,2932
31,31082.67421503578,-4390.519493808916,26692.154721226863,65.87365074968987,-1.420732252040977,3272,3226,2261,2861,3002,2896
32,30427.31705615838,-3786.583516312354,26640.733539846027,65.22023205880205,-1.9287754566242499,2391,3661,2707,3190,2749,2820
33,30847.97781931557,-4170.463684715994,26677.514134599576,65.28909223879897,-1.784053613939113,3018,3025,2716,3442,2600,2717
34,30735.230989740474,-4067.6192498999653,26667.611739840508,64.97468807806864,-3.043305641274989,2624,3169,2966,3080,2858,2821
35,30567.894105475898,-3901.1972019390732,26666.696903536824,64.94687189087773,-3.5996098595735986,2684,3355,2720,3181,2774,2804
36,30863.806117802113,-4134.111411462375,26729.69470633974,65.14764260353982,-2.916689956434063,2928,3049,2782,3167,2626,2966
37,30774.25548262641,-4085.822021584084,26688.433461042325,65.03791584740429,-3.718097596618086,3273,3243,2243,2828,2766,3165
38,31040.905939302174,-4332.830462094269,26708.075477207905,65.53743519460112,-3.720134496406402,2707,3402,2650,3368,2563,2828
39,30892.6494385641,-4152.792846332623,26739.856592231477,65.12363846456105,-4.1100742822000615,2601,3374,2784,2786,2997,2976
40,30703.20120986299,-4108.681849638812,26594.519360224178,65.07315637425867,-4.37900104418801,3057,3249,2453,2823,2992,2944
41,30859.84780428333,-4321.6319864749485,26538.21581780838,65.40606106784828,-4.545395808833541,2631,3682,2446,2351,3382,3026
42,30862.934621450804,-4067.325136426971,26795.609485023833,65.08462683053385,-4.190149418381109,2823,2980,2956,2719,2846,3194
43,31265.664877822826,-4485.1060099676915,26780.558867855136,65.60733879371936,-4.0223237950147395,2758,3186,2815,2465,3377,2917
44,31218.138050871432,-4417.756139410451,26800.38191146098,65.96326802826567,-3.6961145928174086,2918,3296,2545,2875,2591,3293
45,30935.67286533009,-4090.8239375790745,26844.848927751016,65.65447274292643,-3.1765133124144036,2707,3062,2990,2116,3407,3236
46,30733.978157030175,-4020.801601196686,26713.17655583349,65.57148828853393,-2.91094161852654,3361,2700,2698,2860,3009,2890
47,31094.45141889216,-4379.995745337237,26714.455673554923,65.62497933483185,-3.911508812259688,3131,3055,2573,3157,2652,2950
48,31092.288556946372,-4349.864077375873,26742.424479570498,65.9141032428598,-4.2261015943514435,2799,3662,2298,3421,2132,3206
49,31156.25672483025,-4337.3294916488385,26818.927233181414,66.18527633411875,-3.844877905344884,2949,3112,2698,2765,2859,3135
50,31018.48414595058,-4321.206760730911,26697.27738521967,66.14105244995365,-4.4587888407012874,2648,3279,2832,2612,3366,2781
